trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v
0,1,0,0,0,0.000336668363,0.000260827315
0,1,0,0.3,0,0.000424767165,0.000255761168
0,1,0,0.44,0,0.000549340746,0.000246972196
0,1,0,0.58,0,0.00063591607,0.000250159769
0,1,0,0.72,0,0.0007947577,0.00025370176
0,1,0,0.86,0,0.000792148866,0.000253323353
0,1,0,1,0,0.000771482784,0.000252385482
0,1,0.3,0,0,0.000539690956,0.000241569529
0,1,0.3,0.3,0.09,0.000519106583,0.000253598802
0,1,0.3,0.44,0.132,0.000889613741,0.000256120124
0,1,0.3,0.58,0.174,0.00113431529,0.000246683628
0,1,0.3,0.72,0.216,0.00108021495,0.000265806069
0,1,0.3,0.86,0.258,0.00130106449,0.000248400764
0,1,0.3,1,0.3,0.00119286061,0.000267781842
0,1,0.44,0,0,0.000447376843,0.000248366246
0,1,0.44,0.3,0.132,0.000867222162,0.00027484874
0,1,0.44,0.44,0.1936,0.000626313246,0.000275010864
0,1,0.44,0.58,0.2552,0.00121202573,0.000253633947
0,1,0.44,0.72,0.3168,0.00122361268,0.000277830703
0,1,0.44,0.86,0.3784,0.00145005304,0.000270188722
0,1,0.44,1,0.44,0.00170378548,0.000283287282
0,1,0.58,0,0,0.000507723575,0.000264880648
0,1,0.58,0.3,0.174,0.000759911914,0.000235969411
0,1,0.58,0.44,0.2552,0.00119972914,0.000270165843
0,1,0.58,0.58,0.3364,0.00149011585,0.000244889354
0,1,0.58,0.72,0.4176,0.00134544877,0.000255263482
0,1,0.58,0.86,0.4988,0.00151285807,0.000255666066
0,1,0.58,1,0.58,0.00182862028,0.000249799796
0,1,0.72,0,0,0.000636991128,0.000263534348
0,1,0.72,0.3,0.216,0.00118378277,0.000249094475
0,1,0.72,0.44,0.3168,0.00138380281,0.000289679939
0,1,0.72,0.58,0.4176,0.00152640728,0.000286331092
0,1,0.72,0.72,0.5184,0.00155811281,0.000277022265
0,1,0.72,0.86,0.6192,0.00131939131,0.000241730783
0,1,0.72,1,0.72,0.00182678734,0.000257346168
0,1,0.86,0,0,0.00100123645,0.000239052621
0,1,0.86,0.3,0.258,0.00116636824,0.000262456202
0,1,0.86,0.44,0.3784,0.00163746576,0.000249149964
0,1,0.86,0.58,0.4988,0.00181738267,0.000262994555
0,1,0.86,0.72,0.6192,0.00181165739,0.000260509675
0,1,0.86,0.86,0.7396,0.00230299514,0.000282387893
0,1,0.86,1,0.86,0.00200799356,0.000252224103
0,1,1,0,0,0.000725336985,0.000259265045
0,1,1,0.3,0.3,0.00122171991,0.00029939023
0,1,1,0.44,0.44,0.00165967206,0.000259805418
0,1,1,0.58,0.58,0.00168365017,0.000256145001
0,1,1,0.72,0.72,0.00204316875,0.000250617908
0,1,1,0.86,0.86,0.00204347242,0.000249907034
0,1,1,1,1,0.00212635422,0.000269619312
1,1,0,0,0,0.000235136158,0.000259831117
1,1,0,0.3,0,0.000377945838,0.000247875511
1,1,0,0.44,0,0.00060511639,0.000248973097
1,1,0,0.58,0,0.000491481253,0.000254742928
1,1,0,0.72,0,0.000840093506,0.00024946909
1,1,0,0.86,0,0.00085562427,0.000240828505
1,1,0,1,0,0.000954709776,0.000242663677
1,1,0.3,0,0,0.000261117697,0.000254543358
