trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,voltage_sem_v,sem_ratio
0,4,0.5,0,0,0.00244828786,0.000776208897,5.48862574e-05,0.0224182
0,4,0.6,0,0,0.00253678718,0.000924593624,6.53786422e-05,0.0257722
0,4,0.7,0,0,0.00256314974,0.00080913252,5.72143091e-05,0.0223219
0,4,0.8,0,0,0.00265320666,0.00112712773,7.96999661e-05,0.0300391
0,4,0.9,0,0,0.00275868858,0.000722318408,5.10756244e-05,0.0185145
0,4,1,0,0,0.00294904276,0.000901316447,6.37326972e-05,0.0216113
0,4,0,0.1,0,0.00216928497,0.000786755802,5.56320363e-05,0.0256453
0,4,0,0.2,0,0.00222614452,0.0012973268,9.17348576e-05,0.041208
0,4,0,0.3,0,0.00248143672,0.00110241465,7.79524875e-05,0.0314143
0,4,0,0.4,0,0.00263274444,0.000752594028,5.32164341e-05,0.0202133
0,4,0,0.5,0,0.00270345822,0.000710015163,5.02056536e-05,0.0185709
0,4,0,0.6,0,0.00281330982,0.000881623959,6.2340228e-05,0.022159
0,4,0,0.7,0,0.00299034806,0.000641284308,4.53456483e-05,0.015164
0,4,0,0.8,0,0.00305688624,0.00084226282,5.95569752e-05,0.0194829
0,4,0,0.9,0,0.00318001315,0.000720809413,5.09689224e-05,0.0160279
0,4,0,1,0,0.00321593164,0.000763575167,5.39929178e-05,0.0167892
0,4,1,0.1,0.1,0.00316399158,0.00168341803,0.000153674338,0.0485698
0,4,1,0.2,0.2,0.00362123481,0.000860451143,7.85480834e-05,0.021691
0,4,1,0.3,0.3,0.00398767701,0.000634683985,5.79384559e-05,0.0145294
0,4,1,0.4,0.4,0.00445057689,0.00101896613,9.30184562e-05,0.0209003
0,4,1,0.5,0.5,0.00450962092,0.000972710316,8.8795897e-05,0.0196903
0,4,1,0.6,0.6,0.00490180698,0.000724231856,6.61130208e-05,0.0134875
0,4,1,0.7,0.7,0.00516600742,0.000980664498,8.95220112e-05,0.0173291
0,4,1,0.8,0.8,0.00575446222,0.000901983882,8.23394864e-05,0.0143088
0,4,1,0.9,0.9,0.00584386863,0.000838453036,7.65399402e-05,0.0130975
0,4,1,1,1,0.0067967224,0.00122606458,0.000111923871,0.0164673
0,5,0,0,0,0.00200684597,0.000609142712,4.30728943e-05,0.021463
0,5,0.1,0,0,0.00221818694,0.000603229384,4.26547588e-05,0.0192296
0,5,0.2,0,0,0.00224204426,0.000594716663,4.20528185e-05,0.0187565
0,5,0.3,0,0,0.0022963485,0.000988202714,6.9876484e-05,0.0304294
0,5,0.4,0,0,0.00225211892,0.00082872276,5.85995484e-05,0.0260197
0,5,0.5,0,0,0.00225662097,0.000658104253,4.6534998e-05,0.0206215
0,5,0.6,0,0,0.00244770576,0.000932855944,6.59628764e-05,0.0269489
0,5,0.7,0,0,0.0026021006,0.000783502981,5.54020271e-05,0.0212913
0,5,0.8,0,0,0.00246563058,0.00102419375,7.24214344e-05,0.0293724
0,5,0.9,0,0,0.00267000919,0.000880521467,6.22622701e-05,0.0233191
0,5,1,0,0,0.00288753329,0.000987720216,6.98423663e-05,0.0241876
0,5,0,0.1,0,0.00223645392,0.000629793514,4.45331265e-05,0.0199124
0,5,0,0.2,0,0.00226701022,0.00079071575,5.59120469e-05,0.0246633
0,5,0,0.3,0,0.00255109782,0.000809978692,5.72741425e-05,0.0224508
0,5,0,0.4,0,0.00255299425,0.000655386674,4.63428362e-05,0.0181523
0,5,0,0.5,0,0.00276977384,0.000893492581,6.31794663e-05,0.0228103
0,5,0,0.6,0,0.00282545338,0.00101247667,7.15929118e-05,0.0253386
0,5,0,0.7,0,0.00297318707,0.000639006218,4.5184563e-05,0.0151973
0,5,0,0.8,0,0.00317936745,0.00110826327,7.83660471e-05,0.0246483
