px_per_ch,guard,encoding,edge_taper_px,correction,window,edge_crop,group_px,aperture_channels,throughput,guard_geometric_loss,taper_active_power_factor,encoded_group_power_fraction,mean_group_power,power_loss_vs_guard0,raw_enob,raw_rmse,cal_enob,cal_rmse,cal_mae,cal_bias,cal_p95_abs,cal_max_abs,cal_mean_rel_signal,guard_mean_amplitude,guard_p95_amplitude,guard_max_amplitude,mean_guard_power,guard_p95_power,guard_max_power,nearest_xtalk,mean_row_xtalk,max_offdiag
5,0,flat,0.0,none,group,0,5,384,1.0,0.0,1.0,1.0,0.22701427775131822,0.0,1.324761612725655,0.11524348803304149,0.7521809883189879,0.17138797098742475,0.1491362270057457,0.14764719241032945,0.28149641175836837,0.3636371141178981,0.5765014366044551,0.0,0.0,0.0,0.0,0.0,0.0,0.26602873770235985,0.46265954680114024,0.27788479262024607
5,0,flat,0.0,lut,group,0,5,384,1.0,0.0,1.0,1.0,0.25259111596022715,0.0,1.4114449205307793,0.10852308191581261,0.4999953731712627,0.20412479987407614,0.1835364720660652,0.1835364720660652,0.33020620675647033,0.4141657009021481,0.6774714815933491,0.0,0.0,0.0,0.0,0.0,0.0,0.26602873770235985,0.46265954680114024,0.27788479262024607
5,0,flat,0.0,lut_bg05,group,0,5,384,1.0,0.0,1.0,1.0,0.10057611271206103,0.0,0.2657954851002687,0.2401026554626078,1.0225722066155047,0.14209685636366123,0.12426646034625952,-0.10222330880377382,0.22508973649143696,0.23693840976881264,0.33674665384040997,0.0,0.0,0.0,0.0,0.0,0.0,0.26602873770235985,0.46265954680114024,0.27788479262024607
5,0,edge_taper_1px,1.0,none,group,0,5,384,1.0,0.0,0.7,0.7,0.15252944751309178,0.0,0.8738108055221934,0.1575310304984264,0.8573375514265569,0.159340089800294,0.13735463725849098,0.13683258013356217,0.2710798212785045,0.3374578195524641,0.4631525482751392,0.0,0.0,0.0,0.0,0.0,0.0,0.2266838717969661,0.3920838766113908,0.23251796865224547
5,0,edge_taper_1px,1.0,lut,group,0,5,384,1.0,0.0,0.7,0.7,0.17432294900357811,0.0,1.0715832129161953,0.13735063988473478,0.5365579921073464,0.19901661120883743,0.17942708800124982,0.17942708800124982,0.324928870481971,0.39752428915086113,0.5718866249932915,0.0,0.0,0.0,0.0,0.0,0.0,0.2266838717969661,0.3920838766113908,0.23251796865224547
5,0,edge_taper_1px,1.0,lut_bg05,group,0,5,384,1.0,0.0,0.7,0.7,0.07496306582033611,0.0,0.1370462128549319,0.26251514038914603,1.3606002542705433,0.11241593793378876,0.09936358255989984,-0.07477469911518948,0.19734511301991833,0.20971913960591543,0.29730379639950294,0.0,0.0,0.0,0.0,0.0,0.0,0.2266838717969661,0.3920838766113908,0.23251796865224547
5,0,edge_taper_2px,2.0,none,group,0,5,384,1.0,0.0,0.5,0.5,0.09412046417457706,0.0,0.11584523890594452,0.26640138919782513,1.0017886199036243,0.144158731804812,0.11662908535244762,0.11125725701048131,0.2777197886757439,0.2898224183185373,0.3919537568550633,0.0,0.0,0.0,0.0,0.0,0.0,0.2006806264059387,0.346064081924196,0.20420573989125446
5,0,edge_taper_2px,2.0,lut,group,0,5,384,1.0,0.0,0.5,0.5,0.10671991246438083,0.0,0.21132408528237226,0.24934145447263728,0.6936011284847298,0.17849030525463253,0.15433200241089004,0.15433200241089004,0.3110231833518406,0.32749830315664497,0.49639132149075593,0.0,0.0,0.0,0.0,0.0,0.0,0.2006806264059387,0.346064081924196,0.20420573989125446
5,0,edge_taper_2px,2.0,lut_bg05,group,0,5,384,1.0,0.0,0.5,0.5,0.051727663634780804,0.0,-0.2325436090845507,0.33916574156835383,1.3028321148620237,0.11700861293631014,0.1020648135161972,-0.07983531941256393,0.1879014218133376,0.18955886841875266,0.2650526300248337,0.0,0.0,0.0,0.0,0.0,0.0,0.2006806264059387,0.346064081924196,0.20420573989125446
5,1,flat,0.0,none,group,0,7,274,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.1624580657663899,0.2843707128220636,0.5270158505251918,0.20033729142202703,1.7924640046423586,0.08333432949103399,0.06535423931837402,0.05438777674994303,0.15754896636488888,0.17795611450667906,0.28990185723171447,0.3070160860393672,0.525264604011539,0.5945257703429802,0.11277618790726894,0.2907765705166607,0.3602980205793278,0.11488661125048583,0.19714652355071974,0.11556730387598865
5,1,flat,0.0,lut,group,0,7,274,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.1800567818348002,0.2871610660164634,0.6696308000578207,0.1814806893015841,1.4773716311402607,0.1036755149748653,0.0865798930353122,0.0865798930353122,0.17680445397916536,0.18666912757752005,0.35279357988739685,0.3251290111171092,0.5419699174141768,0.6185629686103848,0.12547211958192261,0.30853734639946095,0.38915849776785666,0.11488661125048583,0.19714652355071974,0.11556730387598865
5,1,flat,0.0,lut_bg05,group,0,7,274,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.13166233704223423,-0.3090815849999078,0.291937742338589,0.23579107348455558,2.1457350216071203,0.0652347155052219,0.05569058641429205,-0.020255479586782126,0.09846631909247439,0.12186618009243858,0.16998963345209092,0.26517054796394707,0.47905021551499827,0.5465599780671259,0.08874500011910855,0.2428461778940107,0.3044673021824142,0.11488661125048583,0.19714652355071974,0.11556730387598865
5,1,edge_taper_1px,1.0,none,group,0,7,274,0.7142857142857143,0.2857142857142857,0.7,0.5,0.08752569242196971,0.4261718386250807,0.3046750872035702,0.23371847117701303,2.717684701180594,0.04388385416750803,0.03726339789920498,0.035328558558151514,0.08433142096429547,0.08924646999803743,0.14942886857955015,0.21722763850945245,0.37224108802992045,0.38569154087139734,0.0584871153529461,0.14027596146420662,0.15270809796825083,0.0931854674937756,0.15984005904400894,0.09350749243751391
5,1,edge_taper_1px,1.0,lut,group,0,7,274,0.7142857142857143,0.2857142857142857,0.7,0.5,0.10037051859314329,0.42422659112379346,0.4355796739848325,0.21344541470618195,1.8808017523835492,0.07838476011959662,0.07231795159610396,0.07231795159610396,0.12388541220312997,0.13949386690925347,0.23184597374506086,0.23331228779485044,0.3909474418874845,0.4078263054178146,0.06713022249932514,0.15654844999218526,0.1676346052362978,0.0931854674937756,0.15984005904400894,0.09350749243751391
5,1,edge_taper_1px,1.0,lut_bg05,group,0,7,274,0.7142857142857143,0.2857142857142857,0.7,0.5,0.07378662271764529,0.015693636457057458,0.16366511583422466,0.25771593223662637,3.1084704932398655,0.03347083276477501,0.027978030470800153,-0.020459051173135245,0.05656530210918797,0.08267554209583111,0.10225277300938512,0.1928295431471097,0.3504113214562613,0.3644275540448262,0.04884695039687349,0.12572601890957763,0.13510886672569913,0.0931854674937756,0.15984005904400894,0.09350749243751391
5,1,edge_taper_2px,2.0,none,group,0,7,274,0.7142857142857143,0.2857142857142857,0.5,0.35714285714285715,0.06977540500040363,0.2586585115965597,-0.25910383276297605,0.34546766341551804,2.6862689287111734,0.04484993861929167,0.03529338270738165,0.031896168712828334,0.085670401929087,0.09352392542206045,0.11753478667576846,0.18546360295172812,0.31954246549488746,0.3386336813856605,0.041708716963856904,0.10234328419081351,0.11500423066831042,0.07865184777330611,0.13488014521099564,0.07881910319676032
5,1,edge_taper_2px,2.0,lut,group,0,7,274,0.7142857142857143,0.2857142857142857,0.5,0.35714285714285715,0.07897417200765712,0.2599865368703729,-0.18860151205243458,0.3289910544968784,1.8704670823727652,0.07894828119112449,0.07289328324699236,0.07289328324699236,0.12695849046410182,0.14819875398024518,0.19997520897759563,0.19860370860099943,0.334000111710896,0.3511223818227591,0.04724068330675295,0.11180117756157609,0.12359559437837209,0.07865184777330611,0.13488014521099564,0.07881910319676032
5,1,edge_taper_2px,2.0,lut_bg05,group,0,7,274,0.7142857142857143,0.2857142857142857,0.5,0.35714285714285715,0.06324562171250515,-0.22266534516319947,-0.310512230536058,0.35799987284303536,3.2033549955197955,0.03134032072526945,0.02451743252845182,-0.0072549490485719955,0.05686932159561185,0.06894253333722655,0.0656330471951731,0.17288411647172217,0.30830893555436717,0.32596374773002335,0.03756747570443252,0.09528141311637307,0.10654406616328753,0.07865184777330611,0.13488014521099564,0.07881910319676032
7,0,flat,0.0,none,group,0,7,274,1.0,0.0,1.0,1.0,0.3389114829793224,0.0,2.0599234501241277,0.06923259809663748,1.0348021465944308,0.14089737151165538,0.12957885115082798,0.12918771481103333,0.21017158372111938,0.23168668428711192,0.3157581351080669,0.0,0.0,0.0,0.0,0.0,0.0,0.17339447270269948,0.2986055956665602,0.17798665571212718
7,0,flat,0.0,lut,group,0,7,274,1.0,0.0,1.0,1.0,0.3590286414000042,0.0,2.1448754564559853,0.06527359426633053,0.8429024235061858,0.16094239658016243,0.15028208033595722,0.15028208033595722,0.23001278401612016,0.2575792746425244,0.3599333408027631,0.0,0.0,0.0,0.0,0.0,0.0,0.17339447270269948,0.2986055956665602,0.17798665571212718
7,0,flat,0.0,lut_bg05,group,0,7,274,1.0,0.0,1.0,1.0,0.21996587948840066,0.0,0.9033243132348009,0.15434112548359885,2.2038879616647993,0.06265748999507341,0.05179886291661368,-0.0274725816419876,0.12499264817160197,0.14929203611245412,0.12187578436046513,0.0,0.0,0.0,0.0,0.0,0.0,0.17339447270269948,0.2986055956665602,0.17798665571212718
7,0,edge_taper_1px,1.0,none,group,0,7,274,1.0,0.0,0.7857142857142857,0.7857142857142857,0.2566284698142087,0.0,1.1301469992683177,0.13188676953767156,1.2426586380466114,0.1219921407684745,0.11074760906428298,0.11074760906428298,0.19375732482933608,0.22987008601074188,0.3101999722135047,0.0,0.0,0.0,0.0,0.0,0.0,0.13929859064555544,0.23934051872702508,0.14113050648825376
7,0,edge_taper_1px,1.0,lut,group,0,7,274,1.0,0.0,0.7857142857142857,0.7857142857142857,0.27028299877802064,0.0,1.2522420419333018,0.12118446796795311,1.050641999161457,0.13935887139584235,0.12896251196933148,0.12896251196933148,0.2087097655561836,0.25711295287242075,0.34785482311565996,0.0,0.0,0.0,0.0,0.0,0.0,0.13929859064555544,0.23934051872702508,0.14113050648825376
7,0,edge_taper_1px,1.0,lut_bg05,group,0,7,274,1.0,0.0,0.7857142857142857,0.7857142857142857,0.17533068411394903,0.0,0.4499766197235694,0.21132599238323233,2.3162736616921866,0.05796175497587429,0.04932734128700593,-0.0308233776438774,0.10188212294838156,0.11565321891087788,0.12677805302167114,0.0,0.0,0.0,0.0,0.0,0.0,0.13929859064555544,0.23934051872702508,0.14113050648825376
7,0,edge_taper_2px,2.0,none,group,0,7,274,1.0,0.0,0.6428571428571429,0.6428571428571429,0.1831601948454425,0.0,0.39476972599300114,0.21956941666134372,1.4291504726478557,0.10719936588596714,0.09124115670548882,0.08973003141043169,0.1822921765283921,0.20549581987513982,0.3748349934299133,0.0,0.0,0.0,0.0,0.0,0.0,0.11386741891517618,0.19544811504669293,0.11470415808024192
7,0,edge_taper_2px,2.0,lut,group,0,7,274,1.0,0.0,0.6428571428571429,0.6428571428571429,0.19180746729892464,0.0,0.4527519581138663,0.21091985154743706,1.261045061612465,0.1204472773803604,0.10591402284336748,0.10591402284336748,0.20001989143081356,0.21039002638448528,0.40852352951943766,0.0,0.0,0.0,0.0,0.0,0.0,0.11386741891517618,0.19544811504669293,0.11470415808024192
7,0,edge_taper_2px,2.0,lut_bg05,group,0,7,274,1.0,0.0,0.6428571428571429,0.6428571428571429,0.13582180789129086,0.0,0.08361320207395997,0.2724201922724113,2.207350345439811,0.06250729598182735,0.05346403760778814,-0.015168636844634249,0.10880737022315824,0.11334433131581895,0.17964657720548927,0.0,0.0,0.0,0.0,0.0,0.0,0.11386741891517618,0.19544811504669293,0.11470415808024192
7,1,flat,0.0,none,group,0,9,213,0.7777777777777778,0.2222222222222222,1.0,0.7777777777777778,0.2689645011910934,0.20638716981004923,0.9298891004985582,0.1515251997111103,2.1780752578949003,0.06378864714180375,0.05741663681322423,0.05737752310426765,0.09892548911621514,0.11474268803786913,0.11582812654778395,0.3902909421819652,0.5694554580438641,0.5855921307798233,0.1780765639850228,0.3259010719716866,0.34330376583805833,0.07989178844621439,0.13704511151635176,0.0801989443508213
7,1,flat,0.0,lut,group,0,9,213,0.7777777777777778,0.2222222222222222,1.0,0.7777777777777778,0.2877060052731709,0.1986544467558805,1.099121863084398,0.13475370888447707,1.7276479319336437,0.08716367395786585,0.0811619700984614,0.0811619700984614,0.1278808539648982,0.1460586811611827,0.15914223297623853,0.40489561276368935,0.5887173884296603,0.6063445136691283,0.1913363806551786,0.34828658407901386,0.3680359915145295,0.07989178844621439,0.13704511151635176,0.0801989443508213
