coordinate_px,wavelength_nm,level,intensity,raw_intensity_w
600.0,778.3906086429528,400,0.0031568605318987035,3.28122081e-06
600.0,778.3906086429528,405,0.002852488880649959,2.9648588465999994e-06
600.0,778.3906086429528,410,0.0008673348605915002,9.015023517999997e-07
600.0,778.3906086429528,415,0.0,0.0
600.0,778.3906086429528,420,2.6655926595091936e-05,2.7706001000000662e-08
600.0,778.3906086429528,425,0.0,0.0
600.0,778.3906086429528,430,0.00035697709219973176,3.710397249999999e-07
600.0,778.3906086429528,435,0.0027858041448001335,2.8955471552000003e-06
600.0,778.3906086429528,440,0.0017443113563241556,1.8130261580000005e-06
600.0,778.3906086429528,445,0.005939256536790284,6.1732255662e-06
600.0,778.3906086429528,450,0.005449977620546342,5.6646721646000004e-06
600.0,778.3906086429528,455,0.009830759060709866,1.0218028602200001e-05
600.0,778.3906086429528,460,0.013913766605113963,1.4461880741599998e-05
600.0,778.3906086429528,465,0.015734322965759693,1.63541554734e-05
600.0,778.3906086429528,470,0.01883982499312309,1.95819945796e-05
600.0,778.3906086429528,475,0.023624206031133084,2.4554849878799998e-05
600.0,778.3906086429528,480,0.03539449873244035,3.6788817442799994e-05
600.0,778.3906086429528,485,0.030030946102150707,3.12139748648e-05
600.0,778.3906086429528,490,0.04390207427538608,4.5631537490799987e-05
600.0,778.3906086429528,495,0.05029322746081407,5.22744615668e-05
600.0,778.3906086429528,500,0.05621673868484032,5.843132155479999e-05
600.0,778.3906086429528,505,0.05850167612129341,6.0806271030799997e-05
600.0,778.3906086429528,510,0.07133903176983644,7.41493370528e-05
600.0,778.3906086429528,515,0.06330826264869126,6.58022065748e-05
600.0,778.3906086429528,520,0.07593388149019147,7.892519470280003e-05
600.0,778.3906086429528,525,0.08571959815918964,8.909640652880002e-05
600.0,778.3906086429528,530,0.10475833924458407,0.00010888515323280002
600.0,778.3906086429528,535,0.09252889530908737,9.617394678880002e-05
600.0,778.3906086429528,540,0.12774135098624032,0.0001327735498348
600.0,778.3906086429528,545,0.10777295144050875,0.0001120185220248
600.0,778.3906086429528,550,0.1253586194162509,0.0001302969537568
600.0,778.3906086429528,555,0.1362470383648813,0.0001416143073368
600.0,778.3906086429528,560,0.14045698932848716,0.0001459901036608
600.0,778.3906086429528,565,0.14881008191393166,0.0001546722551028
600.0,778.3906086429528,570,0.159694002824718,0.00016598493345080002
600.0,778.3906086429528,575,0.18253851081165415,0.0001897293701288
600.0,778.3906086429528,580,0.16709984901296143,0.00017368252299680004
600.0,778.3906086429528,585,0.196706892453959,0.0002044558961248
600.0,778.3906086429528,590,0.216314649869728,0.0002248360747928
600.0,778.3906086429528,595,0.2176807243725766,0.0002262559639648
600.0,778.3906086429528,600,0.22044765725230292,0.0002291318964468
600.0,778.3906086429528,605,0.2746321733731182,0.00028545093876079997
600.0,778.3906086429528,610,0.2643351568507018,0.0002747482851108
600.0,778.3906086429528,615,0.30499597443082355,0.0003170108809547999
600.0,778.3906086429528,620,0.32586089387596473,0.0003386977458608
600.0,778.3906086429528,625,0.2769449486666052,0.0002878548227288
600.0,778.3906086429528,630,0.3213174020022615,0.0003339752692308
600.0,778.3906086429528,635,0.2696250552754343,0.00028024657197479993
600.0,778.3906086429528,640,0.3312131715942598,0.0003442608693667999
600.0,778.3906086429528,645,0.3218996522252228,0.00033458045641879996
600.0,778.3906086429528,650,0.356598456791582,0.00037064617375879997
600.0,778.3906086429528,655,0.3695261768688958,0.0003840831639948
600.0,778.3906086429528,660,0.38482578216945235,0.0003999854766847999
600.0,778.3906086429528,665,0.4294124074068678,0.0004463285321028
600.0,778.3906086429528,670,0.3908640488908803,0.00040626161280880006
600.0,778.3906086429528,675,0.43765939468817244,0.0004549003983648
600.0,778.3906086429528,680,0.40727880102845526,0.00042332300204679993
600.0,778.3906086429528,685,0.4689594956841185,0.0004874335247747999
600.0,778.3906086429528,690,0.34718403432833606,0.00036086088277479994
600.0,778.3906086429528,695,0.47257052350983947,0.0004911868041888
600.0,778.3906086429528,700,0.4311338908097394,0.0004481178310308
600.0,778.3906086429528,705,0.4777166910323047,0.0004965356980648
600.0,778.3906086429528,710,0.5279685904298306,0.0005487672035048
600.0,778.3906086429528,715,0.3913257340716496,0.00040674148545680004
600.0,778.3906086429528,720,0.5216268781619021,0.0005421756680047999
600.0,778.3906086429528,725,0.5319173217656173,0.0005528714898047999
600.0,778.3906086429528,730,0.5337171776806966,0.0005547422486248
600.0,778.3906086429528,735,0.453623927397083,0.0004714938323848
600.0,778.3906086429528,740,0.5982698496805783,0.0006218378863848
600.0,778.3906086429528,745,0.4892679095429365,0.0005085419613047999
600.0,778.3906086429528,750,0.5721439545290837,0.0005946827967047999
600.0,778.3906086429528,755,0.6264422717928132,0.0006511201232048
600.0,778.3906086429528,760,0.6309501473148259,0.0006558055804248
600.0,778.3906086429528,765,0.5769547001698019,0.0005996830552048
600.0,778.3906086429528,770,0.5235116585706833,0.0005441346968048
600.0,778.3906086429528,775,0.6028735033126624,0.0006266228947648
