coordinate_px,wavelength_nm,level,intensity,raw_intensity_w
607.0,780.7593962050154,400,0.6028209963862814,36.72910756600001
607.0,780.7593962050154,405,0.5692117623760331,34.68134018800002
607.0,780.7593962050154,410,0.529829052350156,32.28180234600002
607.0,780.7593962050154,415,0.29689649343564706,18.08952128200002
607.0,780.7593962050154,420,0.0,0.0
607.0,780.7593962050154,425,0.3992525317662241,24.325942980000022
607.0,780.7593962050154,430,0.015936523748748058,0.9709918840000142
607.0,780.7593962050154,435,0.35428433991348324,21.586088918000016
607.0,780.7593962050154,440,0.26682111886357696,16.257067412000012
607.0,780.7593962050154,445,0.5431059831149354,33.090748652000016
607.0,780.7593962050154,450,0.5956580587255346,36.29267899200001
607.0,780.7593962050154,455,0.6368711077860872,38.80373703600002
607.0,780.7593962050154,460,0.6574375988432415,40.056826870000016
607.0,780.7593962050154,465,0.6716401678348896,40.92217112200001
607.0,780.7593962050154,470,0.69018588973992,42.05213809200001
607.0,780.7593962050154,475,0.7010284871609204,42.71276360000002
607.0,780.7593962050154,480,0.7166208174593578,43.662784220000006
607.0,780.7593962050154,485,0.7271082571413648,44.30177042400002
607.0,780.7593962050154,490,0.7430052642504898,45.27035461000003
607.0,780.7593962050154,495,0.7506998331952166,45.739174794000014
607.0,780.7593962050154,500,0.7617136062321429,46.41022981200002
607.0,780.7593962050154,505,0.7677519350760572,46.778137418000014
607.0,780.7593962050154,510,0.7772745313703323,47.35833695600002
607.0,780.7593962050154,515,0.7811396493064919,47.59383361800002
607.0,780.7593962050154,520,0.7886700237773202,48.05264964400001
607.0,780.7593962050154,525,0.7951888160429845,48.449831268
607.0,780.7593962050154,530,0.802696859827183,48.90728671400002
607.0,780.7593962050154,535,0.8108647848385615,49.40494787400001
607.0,780.7593962050154,540,0.8172681516235767,49.795096772000015
607.0,780.7593962050154,545,0.8256237849158273,50.30419475600001
607.0,780.7593962050154,550,0.8280000681578157,50.448978636000014
607.0,780.7593962050154,555,0.8361443763237736,50.945200852
607.0,780.7593962050154,560,0.8416786304808095,51.28239583600003
607.0,780.7593962050154,565,0.8447013915813879,51.46656878000001
607.0,780.7593962050154,570,0.8526540123244982,51.95111172800001
607.0,780.7593962050154,575,0.8549736989665905,52.09244725000001
