trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v
8,3,0,90,135,0.5,0.853553,1,1,0.000167004746,0.0065916866,0.000371780377
8,3,0,90,180,0.5,1,1,1,0.000167004746,0.00719699449,0.000385926112
8,3,0,135,90,0.853553,0.5,1,1,0.000167004746,0.00727477706,0.000333334059
8,3,0,135,135,0.853553,0.853553,1,1,0.000167004746,0.0080331089,0.00036491188
8,3,0,135,180,0.853553,1,1,1,0.000167004746,0.00900410449,0.000403496892
8,3,0,180,90,1,0.5,1,1,0.000167004746,0.0080685582,0.000463444584
8,3,0,180,135,1,0.853553,1,1,0.000167004746,0.00865044785,0.000587089397
8,3,0,180,180,1,1,1,1,0.000167004746,0.00943377452,0.000482535855
9,3,0,90,90,0.5,0.5,1,1,0.000198143476,0.00622992372,0.000384752106
9,3,0,90,135,0.5,0.853553,1,1,0.000198143476,0.00689985738,0.000457650853
9,3,0,90,180,0.5,1,1,1,0.000198143476,0.00721256388,0.000415448066
9,3,0,135,90,0.853553,0.5,1,1,0.000198143476,0.00724473202,0.000418758817
9,3,0,135,135,0.853553,0.853553,1,1,0.000198143476,0.00806688547,0.00061712176
9,3,0,135,180,0.853553,1,1,1,0.000198143476,0.00883374197,0.000511433098
9,3,0,180,90,1,0.5,1,1,0.000198143476,0.00796005504,0.000481352508
9,3,0,180,135,1,0.853553,1,1,0.000198143476,0.00858279822,0.000483715794
9,3,0,180,180,1,1,1,1,0.000198143476,0.00930912293,0.000541775647
# dark_mean_v,0.000213880115
