wavelength_m,power_dBm
7.7572e-07,-63.4139793
7.75728e-07,-61.9935418
7.75736e-07,-63.3316539
7.75744e-07,-62.5449889
7.75752e-07,-61.5518785
7.7576e-07,-60.9115986
7.75768e-07,-62.2818197
7.75776e-07,-63.3910177
7.75784e-07,-63.7961513
7.75792e-07,-65.4113543
7.758e-07,-61.7825572
7.75808e-07,-66.0816173
7.75816e-07,-64.2669539
7.75824e-07,-66.3407179
7.75832e-07,-64.5390312
7.7584e-07,-63.4990967
7.75848e-07,-63.9007798
7.75856e-07,-63.3112986
7.75864e-07,-63.3868643
7.75872e-07,-62.2429863
7.7588e-07,-61.4359291
7.75888e-07,-61.3496195
7.75896e-07,-61.2758178
7.75904e-07,-61.6037002
7.75912e-07,-60.425656
7.7592e-07,-62.1168921
7.75928e-07,-60.3429784
7.75936e-07,-61.0843476
7.75944e-07,-61.541423
7.75952e-07,-62.4984341
7.7596e-07,-62.6310082
7.75968e-07,-61.9973115
7.75976e-07,-61.9598396
7.75984e-07,-62.3308135
7.75992e-07,-61.5334797
7.76e-07,-63.7991294
7.76008e-07,-63.6045668
7.76016e-07,-63.643905
7.76024e-07,-63.3739125
7.76032e-07,-63.8908301
7.7604e-07,-63.6497836
7.76048e-07,-61.0410103
7.76056e-07,-60.5695865
7.76064e-07,-60.8237466
7.76072e-07,-61.1161733
7.7608e-07,-60.2931727
7.76088e-07,-61.2041806
7.76096e-07,-61.0617233
7.76104e-07,-62.104073
7.76112e-07,-62.4591426
7.7612e-07,-61.8433205
7.76128e-07,-63.3292949
7.76136e-07,-62.6507175
7.76144e-07,-62.0312852
7.76152e-07,-61.5402909
7.7616e-07,-60.6021596
7.76168e-07,-62.1593799
7.76176e-07,-62.3665655
7.76184e-07,-62.8098568
7.76192e-07,-61.2090328
7.762e-07,-62.1000602
7.76208e-07,-63.1773612
7.76216e-07,-62.4606112
7.76224e-07,-63.1672288
7.76232e-07,-62.734402
7.7624e-07,-62.229695
7.76248e-07,-62.59838
7.76256e-07,-62.5137634
7.76264e-07,-63.0404142
7.76272e-07,-63.0192817
7.7628e-07,-62.1258389
7.76288e-07,-61.2694994
7.76296e-07,-61.0108464
7.76304e-07,-61.4963359
7.76312e-07,-61.3208513
7.7632e-07,-61.709496
7.76328e-07,-62.171621
7.76336e-07,-65.3156663
7.76344e-07,-65.1240402
7.76352e-07,-63.615576
7.7636e-07,-65.1200344
7.76368e-07,-63.8368581
7.76376e-07,-65.1425118
7.76384e-07,-65.5289059
7.76392e-07,-65.5074984
7.764e-07,-62.993962
7.76408e-07,-62.8364276
7.76416e-07,-63.3451672
7.76424e-07,-62.9019472
7.76432e-07,-63.4484606
7.7644e-07,-62.8154831
7.76448e-07,-62.1054773
7.76456e-07,-65.8106362
7.76464e-07,-64.0049685
7.76472e-07,-63.6610019
7.7648e-07,-63.3254922
7.76488e-07,-63.7899067
7.76496e-07,-62.3302783
7.76504e-07,-62.4272702
7.76512e-07,-62.4108006
7.7652e-07,-62.6959168
7.76528e-07,-62.3315104
7.76536e-07,-62.1410077
7.76544e-07,-60.9026937
7.76552e-07,-60.9662483
7.7656e-07,-62.0790322
7.76568e-07,-60.9785712
7.76576e-07,-60.1874363
7.76584e-07,-61.417151
7.76592e-07,-60.8069861
7.766e-07,-60.6575199
7.76608e-07,-61.020126
7.76616e-07,-60.9966823
7.76624e-07,-62.6705959
7.76632e-07,-62.2959387
7.7664e-07,-61.0818531
7.76648e-07,-61.1297904
7.76656e-07,-61.5654138
7.76664e-07,-60.654663
7.76672e-07,-60.7127535
7.7668e-07,-61.7767987
7.76688e-07,-61.0842268
7.76696e-07,-60.9374086
7.76704e-07,-61.6416816
7.76712e-07,-61.8898705
7.7672e-07,-62.5959477
7.76728e-07,-62.8351813
7.76736e-07,-61.9857994
7.76744e-07,-60.2651724
7.76752e-07,-60.1894159
7.7676e-07,-59.8256186
7.76768e-07,-60.3649496
7.76776e-07,-59.4322955
7.76784e-07,-59.8581651
